trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2044,False,"{'a': 0.002, 'e': 0.016806324585413937}",25,11,21.54657239368562,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2045,False,"{'a': 0.002, 'e': 0.016772745526495048}",20,11,17.282305189775418,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2046,False,"{'a': 0.002, 'e': 0.016739233558580632}",25,2,29.70770628565831,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2047,False,"{'a': 0.002, 'e': 0.016705788547622755}",25,6,-32.94746464886839,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
2048,False,"{'a': 0.002, 'e': 0.016672410359841357}",25,15,18.037147836593455,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2049,False,"{'a': 0.002, 'e': 0.016639098861723624}",25,11,13.206055475182026,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
2050,False,"{'a': 0.002, 'e': 0.01660585392002353}",20,7,20.54348081033337,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2051,False,"{'a': 0.002, 'e': 0.016572675401761255}",20,0,25.800980532750053,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2052,False,"{'a': 0.002, 'e': 0.016539563174222668}",20,10,19.368771494502344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2053,False,"{'a': 0.002, 'e': 0.016506517104958845}",20,10,19.49218592886458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2054,False,"{'a': 0.002, 'e': 0.01647353706178545}",30,6,44.06540513175947,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2055,False,"{'a': 0.002, 'e': 0.01644062291278227}",25,13,21.514968108567803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2056,False,"{'a': 0.002, 'e': 0.016407774526292645}",20,0,29.880231824358965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2057,False,"{'a': 0.002, 'e': 0.01637499177092302}",20,2,29.236596799060788,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2058,False,"{'a': 0.002, 'e': 0.016342274515542307}",25,17,4.097301251343498,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2059,False,"{'a': 0.002, 'e': 0.01630962262928145}",20,7,21.56924644976454,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2060,False,"{'a': 0.002, 'e': 0.016277035981532836}",25,5,30.963925697878096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2061,False,"{'a': 0.002, 'e': 0.01624451444194987}",20,0,30.510908723488534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
